year,month,day,hour,use,temp,humid
2017,1,13,4,133.4769988207886,-1.0,70.0
2017,1,13,5,133.5955917022092,-1.7,67.0
2017,1,13,6,133.69930068934997,-2.1,60.0
2017,1,13,7,133.64520063310272,-2.1,59.0
2017,1,13,8,133.7133418072784,-2.1,60.0
2017,1,13,9,133.92462241445764,-1.7,71.0
2017,1,13,10,140.7429747003487,-0.4,68.0
2017,1,13,11,156.53233110290302,1.0,60.0
2017,1,13,12,149.58850896892824,2.9,63.0
2017,1,13,13,150.11207742605583,1.7,82.0
2017,1,13,14,153.90762510527568,2.9,81.0
2017,1,13,15,150.43672857312288,3.1,76.0
2017,1,13,16,144.2215710935052,3.0,68.0
2017,1,13,17,138.6036879991338,1.1,75.0
2017,1,13,18,135.55380409360072,-0.5,78.0
2017,1,13,19,135.55880110567657,-1.1,83.0
2017,1,13,20,134.17779000040352,-0.9,76.0
2017,1,13,21,133.35818171446715,-0.6,66.0
2017,1,13,22,132.87073887116634,-1.2,74.0
2017,1,13,23,133.56014870409038,-1.6,83.0
2017,1,13,24,133.76987961897467,-1.7,90.0
2017,1,14,1,133.81133913450665,-1.8,95.0
2017,1,14,2,133.93723313215656,-1.9,85.0
2017,1,14,3,134.07358617210227,-2.6,81.0
2017,1,14,4,134.21845644461135,-2.8,84.0
2017,1,14,5,134.27401451499213,-3.1,88.0
2017,1,14,6,134.06583771062745,-2.8,89.0
2017,1,14,7,134.33976542963373,-2.9,75.0
2017,1,14,8,134.58339406856658,-3.3,72.0
2017,1,14,9,136.53883071032354,-3.3,68.0
2017,1,14,10,146.75107097732507,-2.1,56.0
2017,1,14,11,162.0360075083722,-1.2,55.0
2017,1,14,12,169.1655894794086,-1.8,55.0
2017,1,14,13,172.18971182158077,-1.8,57.0
2017,1,14,14,170.75855607567576,-1.1,48.0
2017,1,14,15,165.90257041690063,-1.4,37.0
2017,1,14,16,153.86038323823686,-1.5,37.0
2017,1,14,17,138.9133447963048,-2.8,40.0
2017,1,14,18,134.76026222852593,-3.8,46.0
2017,1,14,19,135.31038532033864,-4.0,53.0
2017,1,14,20,135.66842057283895,-3.6,52.0
2017,1,14,21,134.9510610507975,-3.1,52.0
2017,1,14,22,134.12487513291782,-3.2,54.0
2017,1,14,23,133.97643493489392,-3.8,55.0
2017,1,14,24,133.82064281105724,-4.9,51.0
2017,1,15,1,133.64857173850845,-5.7,51.0
2017,1,15,2,133.8882526937191,-6.3,49.0
2017,1,15,3,133.94708466856338,-6.4,47.0
2017,1,15,4,133.82869060725187,-7.0,49.0
2017,1,15,5,133.6370048263824,-7.5,50.0
2017,1,15,6,133.80814696719915,-7.4,47.0
2017,1,15,7,133.88513674078675,-7.6,49.0
2017,1,15,8,134.01078110874408,-7.5,49.0
2017,1,15,9,138.43552815995383,-5.7,47.0
2017,1,15,10,143.15840154656186,-3.9,46.0
2017,1,15,11,136.23218382869334,-2.1,43.0
2017,1,15,12,100.57342944111502,-0.7,43.0
2017,1,15,13,98.58225046651937,0.4,40.0
2017,1,15,14,86.06619764889521,1.2,41.0
2017,1,15,15,79.93341023592912,1.9,34.0
