거래일,거래시간,전력거래량
2022-01-28,09,124.315326
2022-01-28,10,136.691763
2022-01-28,11,147.12782
2022-01-28,12,153.019854
2022-01-28,13,155.114119
2022-01-28,14,150.84765
2022-01-28,15,147.094341
2022-01-28,16,142.658065
2022-01-28,17,129.876085
2022-01-28,18,122.447009
2022-01-28,19,121.696879
2022-01-28,20,122.08542
2022-01-28,21,121.130471
2022-01-28,22,120.338467
2022-01-28,23,119.924736
2022-01-28,24,119.683111
2022-01-29,01,119.412472
2022-01-29,02,119.404033
2022-01-29,03,119.327109
2022-01-29,04,119.338191
2022-01-29,05,119.17879
2022-01-29,06,119.358337
2022-01-29,07,108.934703
2022-01-29,08,63.33687
2022-01-29,09,65.642341
2022-01-29,10,74.41269
2022-01-29,11,86.184352
2022-01-29,12,88.569595
2022-01-29,13,94.998401
2022-01-29,14,96.812581
2022-01-29,15,93.894168
2022-01-29,16,85.675906
2022-01-29,17,88.496646
2022-01-29,18,122.050212
2022-01-29,19,121.864112
2022-01-29,20,121.967248
2022-01-29,21,121.105397
2022-01-29,22,120.325522
2022-01-29,23,119.738359
2022-01-29,24,119.524516
2022-01-30,01,119.4744
2022-01-30,02,108.947999
2022-01-30,03,63.319878
2022-01-30,04,62.864168
2022-01-30,05,62.684986
2022-01-30,06,62.739318
2022-01-30,07,62.628182
2022-01-30,08,62.918768
2022-01-30,09,68.847688
2022-01-30,10,78.980123
2022-01-30,11,85.207436
2022-01-30,12,91.842987
2022-01-30,13,99.305273
2022-01-30,14,98.356692
2022-01-30,15,94.691482
2022-01-30,16,85.877976
2022-01-30,17,87.929082
2022-01-30,18,122.127674
2022-01-30,19,121.511705
2022-01-30,20,121.798878
2022-01-30,21,121.070741
2022-01-30,22,120.193746
2022-01-30,23,120.08144
2022-01-30,24,119.985657
2022-01-31,01,120.185761
2022-01-31,02,109.42331
2022-01-31,03,61.56642
2022-01-31,04,61.322263
2022-01-31,05,61.356509
2022-01-31,06,61.124433
2022-01-31,07,60.822379
2022-01-31,08,61.140149
2022-01-31,09,66.850656
2022-01-31,10,79.63091
2022-01-31,11,88.14943
2022-01-31,12,76.295913
2022-01-31,13,77.32751
2022-01-31,14,76.780038
2022-01-31,15,72.849567
2022-01-31,16,82.296202
2022-01-31,17,71.601112
2022-01-31,18,63.923073
2022-01-31,19,77.222742
2022-01-31,20,120.79683
2022-01-31,21,120.312335
2022-01-31,22,119.655448
2022-01-31,23,119.734654
2022-01-31,24,119.594058
2022-02-01,01,119.99294
2022-02-01,02,109.038124
2022-02-01,03,61.10439
2022-02-01,04,60.703574
2022-02-01,05,60.760099
2022-02-01,06,60.609539
2022-02-01,07,60.731964
2022-02-01,08,60.677525
2022-02-01,09,61.097595
2022-02-01,10,66.14277
2022-02-01,11,63.779151
2022-02-01,12,65.602486
2022-02-01,13,62.695356
2022-02-01,14,55.509164
2022-02-01,15,56.185513
2022-02-01,16,67.287816
2022-02-01,17,65.157403
2022-02-01,18,63.465378
2022-02-01,19,74.944749
2022-02-01,20,119.774685
2022-02-01,21,119.791751
2022-02-01,22,119.538224
2022-02-01,23,119.517691
2022-02-01,24,119.522647
2022-02-02,01,119.534428
2022-02-02,02,119.455437
2022-02-02,03,119.365958
2022-02-02,04,108.707822
2022-02-02,05,60.877241
2022-02-02,06,60.621235
2022-02-02,07,60.676872
2022-02-02,08,60.744331
2022-02-02,09,63.560026
2022-02-02,10,69.167152
2022-02-02,11,72.669095
2022-02-02,12,66.631361
2022-02-02,13,73.415039
2022-02-02,14,75.358783
2022-02-02,15,73.349074
2022-02-02,16,82.347925
2022-02-02,17,87.202495
2022-02-02,18,123.679602
2022-02-02,19,122.933078
2022-02-02,20,122.992008
2022-02-02,21,121.676015
2022-02-02,22,121.367941
2022-02-02,23,120.944967
2022-02-02,24,120.716427
2022-02-03,01,120.791447
2022-02-03,02,120.954103
2022-02-03,03,121.155751
2022-02-03,04,121.233914
2022-02-03,05,121.155261
2022-02-03,06,121.072889
2022-02-03,07,121.232727
2022-02-03,08,121.645983
2022-02-03,09,127.550402
2022-02-03,10,139.099416
2022-02-03,11,147.072241
2022-02-03,12,152.392788
2022-02-03,13,156.375443
2022-02-03,14,155.928229
2022-02-03,15,152.26531
2022-02-03,16,145.883587
2022-02-03,17,132.954926
2022-02-03,18,123.527974
2022-02-03,19,122.311547
2022-02-03,20,122.441631
2022-02-03,21,121.622824
2022-02-03,22,120.705602
2022-02-03,23,121.029573
2022-02-03,24,120.967266
2022-02-04,01,120.872046
2022-02-04,02,121.175017
2022-02-04,03,121.159414
2022-02-04,04,121.369005
2022-02-04,05,121.217938
2022-02-04,06,121.466854
2022-02-04,07,121.531595
2022-02-04,08,121.952274
2022-02-04,09,126.217488
2022-02-04,10,135.528216
2022-02-04,11,144.468568
2022-02-04,12,144.848445
2022-02-04,13,144.344097
2022-02-04,14,144.014399
2022-02-04,15,145.003548
2022-02-04,16,136.838119
2022-02-04,17,127.46321
2022-02-04,18,123.126126
2022-02-04,19,122.690514
2022-02-04,20,122.596255
2022-02-04,21,121.741778
2022-02-04,22,121.129988
2022-02-04,23,120.88036
2022-02-04,24,120.968292
2022-02-05,01,120.882257
2022-02-05,02,120.887906
2022-02-05,03,120.962574
2022-02-05,04,121.147653
2022-02-05,05,121.095792
2022-02-05,06,120.920258
2022-02-05,07,121.030446
2022-02-05,08,121.50151
2022-02-05,09,121.968016
2022-02-05,10,123.769319
2022-02-05,11,127.459186
2022-02-05,12,140.207749
2022-02-05,13,122.344115
2022-02-05,14,119.229551
2022-02-05,15,113.291992
2022-02-05,16,110.796715
2022-02-05,17,123.392591
2022-02-05,18,123.438301
2022-02-05,19,123.088282
2022-02-05,20,122.195368
2022-02-05,21,121.120911
2022-02-05,22,121.086858
2022-02-05,23,121.144943
2022-02-05,24,121.122948
2022-02-06,01,121.229112
2022-02-06,02,110.106624
2022-02-06,03,61.424706
2022-02-06,04,61.328269
2022-02-06,05,61.378244
2022-02-06,06,61.568363
2022-02-06,07,61.630836
2022-02-06,08,61.755355
2022-02-06,09,62.6205
2022-02-06,10,67.479928
2022-02-06,11,74.891124
2022-02-06,12,77.993377
2022-02-06,13,89.859233
2022-02-06,14,90.339052
2022-02-06,15,77.745091
2022-02-06,16,71.386386
2022-02-06,17,67.183938
2022-02-06,18,72.566851
2022-02-06,19,117.709187
2022-02-06,20,121.51086
2022-02-06,21,120.556078
2022-02-06,22,120.084477
2022-02-06,23,120.26227
2022-02-06,24,120.687241
2022-02-07,01,120.703024
2022-02-07,02,95.38394
2022-02-07,03,93.01372
2022-02-07,04,92.922476
2022-02-07,05,92.907118
2022-02-07,06,118.056109
2022-02-07,07,120.813317
2022-02-07,08,121.024879
2022-02-07,09,124.824275
2022-02-07,10,131.283535
2022-02-07,11,130.815681
2022-02-07,12,129.368857
2022-02-07,13,135.904793
2022-02-07,14,130.008532
2022-02-07,15,128.499752
2022-02-07,16,124.461754
2022-02-07,17,121.633645
2022-02-07,18,122.343823
2022-02-07,19,121.179568
2022-02-07,20,119.352476
2022-02-07,21,118.780606
2022-02-07,22,119.636208
2022-02-07,23,119.750267
2022-02-07,24,119.924189
2022-02-08,01,120.149659
2022-02-08,02,109.857054
2022-02-08,03,63.788278
2022-02-08,04,63.405666
2022-02-08,05,63.46427
2022-02-08,06,63.433887
2022-02-08,07,63.406594
2022-02-08,08,63.915121
2022-02-08,09,70.432774
2022-02-08,10,79.076761
2022-02-08,11,86.22512
2022-02-08,12,94.378368
2022-02-08,13,99.667494
2022-02-08,14,98.042302
2022-02-08,15,94.252207
2022-02-08,16,87.251656
2022-02-08,17,85.155526
2022-02-08,18,121.348489
2022-02-08,19,121.092661
2022-02-08,20,121.358513
2022-02-08,21,120.386805
2022-02-08,22,119.759319
2022-02-08,23,119.997627
2022-02-08,24,119.787186
2022-02-09,01,95.808697
2022-02-09,02,93.580544
2022-02-09,03,93.412359
2022-02-09,04,93.336012
2022-02-09,05,118.041067
2022-02-09,06,120.923787
2022-02-09,07,121.203547
2022-02-09,08,121.616319
2022-02-09,09,125.858372
2022-02-09,10,134.887134
2022-02-09,11,143.357541
2022-02-09,12,144.229326
2022-02-09,13,147.815553
2022-02-09,14,143.077937
2022-02-09,15,134.813537
2022-02-09,16,124.11339
2022-02-09,17,119.636018
2022-02-09,18,119.179292
2022-02-09,19,119.034625
2022-02-09,20,119.140984
2022-02-09,21,118.582833
2022-02-09,22,118.200836
2022-02-09,23,117.891182
2022-02-09,24,107.314798
2022-02-10,01,50.276215
2022-02-10,02,47.695095
2022-02-10,03,47.46783
2022-02-10,04,47.613338
2022-02-10,05,47.515413
2022-02-10,06,58.767533
2022-02-10,07,60.028728
2022-02-10,08,60.516833
2022-02-10,09,66.66787
2022-02-10,10,79.367435
2022-02-10,11,87.657466
2022-02-10,12,93.204038
2022-02-10,13,95.520205
2022-02-10,14,103.858975
2022-02-10,15,145.957543
2022-02-10,16,141.098531
2022-02-10,17,129.702046
2022-02-10,18,121.358194
2022-02-10,19,119.531889
2022-02-10,20,120.064152
2022-02-10,21,118.978797
2022-02-10,22,108.686139
2022-02-10,23,63.489526
2022-02-10,24,62.919398
2022-02-11,01,62.922404
2022-02-11,02,63.010216
2022-02-11,03,63.033584
2022-02-11,04,50.19938
2022-02-11,05,61.983866
2022-02-11,06,63.199092
2022-02-11,07,63.192727
2022-02-11,08,71.892017
2022-02-11,09,124.448461
2022-02-11,10,139.120949
